Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
49:21.0,98.333,46.596
49:22.0,98.998,46.599
49:23.0,92.074,46.561
49:24.0,90.784,46.58
49:25.0,88.547,46.585
49:26.0,85.568,46.57
49:27.0,89.643,46.567
49:28.0,88.964,46.544
49:29.0,93.039,46.582
49:30.0,92.674,46.574
49:31.0,84.482,46.557
49:32.0,89.554,46.559
49:33.0,89.678,46.56
49:34.0,84.55,46.563
49:35.0,87.925,46.567
49:36.0,87.096,46.549
49:37.0,86.802,46.599
49:38.0,90.693,46.61
49:39.0,86.201,46.59
49:40.0,88.701,46.602
49:41.0,82.852,46.591
49:42.0,82.124,46.599
49:43.0,83.533,46.598
49:44.0,80.743,46.61
49:45.0,88.474,46.638
49:46.0,82.587,46.661
49:47.0,90.268,46.701
49:48.0,89.544,46.724
49:49.0,85.353,46.717
49:50.0,88.403,46.716
49:51.0,88.758,46.743
49:52.0,90.235,46.778
49:53.0,90.862,47.377
49:54.0,80.737,48.02
49:55.0,82.233,48.467
49:56.0,80.102,49.141
49:57.0,87.563,49.184
49:58.0,95.979,49.301
49:59.0,98.333,49.442
50:00.0,98.479,49.641
50:01.0,98.829,49.897
50:02.0,97.138,50.101
50:03.0,97.654,50.752
50:04.0,94.621,51.444
50:05.0,95.652,52.004
50:06.0,97.009,52.29
50:07.0,98.996,52.707
50:08.0,98.489,52.328
50:09.0,94.949,52.037
50:10.0,81.68,52.165
50:11.0,83.589,52.173
50:12.0,88.647,52.23
50:13.0,85.008,52.486
50:14.0,82.064,53.156
50:15.0,81.771,51.314
50:16.0,83.389,51.465
50:17.0,80.912,51.724
50:18.0,70.769,51.878
50:19.0,67.008,52.042
50:20.0,68.994,52.163
50:21.0,84.353,52.38
50:22.0,83.305,52.471
50:23.0,91.181,52.77
50:24.0,94.949,52.415
50:25.0,95.431,52.733
50:26.0,98.662,53.042
50:27.0,97.989,53.164
50:28.0,97.658,53.478
50:29.0,97.993,53.575
50:30.0,97.658,53.616
50:31.0,97.829,53.662
50:32.0,97.157,53.87
50:33.0,97.654,53.88
50:34.0,98.831,52.824
50:35.0,96.621,53.104
50:36.0,96.511,53.252
50:37.0,94.949,53.175
50:38.0,97.983,53.395
50:39.0,91.304,53.166
50:40.0,97.972,53.631
50:41.0,88.851,53.363
50:42.0,91.952,53.315
50:43.0,86.417,53.443
50:44.0,93.718,53.532
50:45.0,91.141,53.651
50:46.0,84.628,53.778
50:47.0,90.284,53.837
50:48.0,91.034,53.919
50:49.0,81.88,54.082
50:50.0,88.175,54.161
50:51.0,87.883,54.323
50:52.0,88.474,54.401
50:53.0,87.775,54.469
50:54.0,86.689,41.925
50:55.0,77.358,42.581
50:56.0,80.879,42.839
50:57.0,79.487,42.037
50:58.0,84.615,42.045
50:59.0,81.646,42.327
51:00.0,84.156,42.402
51:01.0,89.249,43.23
51:02.0,86.101,44.165
51:03.0,82.931,44.912
51:04.0,78.974,45.527
51:05.0,80.206,46.172
51:07.0,78.268,46.753
51:08.0,84.353,47.326
51:09.0,89.041,47.783
51:10.0,84.719,48.192
51:11.0,78.947,48.9
51:12.0,89.765,49.522
51:13.0,90.508,49.952
51:14.0,84.04,50.449
51:15.0,83.904,50.969
51:16.0,78.461,51.417
51:17.0,76.632,51.831
51:18.0,81.724,52.174
51:19.0,79.898,52.757
51:20.0,83.986,53.459
51:21.0,85.763,53.814
51:22.0,82.352,54.094
51:23.0,90.085,54.477
51:24.0,89.536,54.796
51:25.0,85.666,55.02
51:26.0,80.976,55.32
51:27.0,75.548,55.64
51:28.0,79.073,55.937
51:29.0,78.438,56.205
51:30.0,81.45,56.545
51:31.0,84.822,56.889
51:32.0,81.755,57.114
51:33.0,83.898,57.344
02:23.0,89.34,57.611
02:24.0,81.494,57.839
02:25.0,82.817,58.168
02:26.0,75.814,58.44
02:27.0,69.346,58.659
02:28.0,76.883,58.928
02:29.0,86.417,59.255
02:30.0,94.207,59.835
02:31.0,92.02,60.056
02:32.0,93.162,60.529
02:33.0,94.137,61.266
02:34.0,93.887,61.78
02:35.0,90.338,60.855
02:37.0,89.83,61.425
02:38.0,91.738,61.746
02:39.0,97.836,62.64
02:40.0,85.86,62.911
02:41.0,79.01,63.164
02:42.0,83.389,63.421
02:43.0,71.993,63.67
